temperature,tpq,accuracy,f1_macro
0.3,5,0.892,0.8866963036963036
0.3,10,0.94,0.9361912531912532
0.3,20,0.94,0.9364033744033743
0.3,30,0.956,0.9536111666111665
0.6,5,0.692,0.6774995821172293
0.6,10,0.784,0.77719425019425
0.6,20,0.852,0.8481608391608391
0.6,30,0.86,0.857868797868798
0.8,5,0.596,0.5749161492102669
0.8,10,0.704,0.6898392718392716
0.8,20,0.808,0.800123765123765
0.8,30,0.804,0.8023644133644132
1.0,5,0.544,0.5267843267843267
1.0,10,0.644,0.6316206571206571
1.0,20,0.712,0.7016655566655566
1.0,30,0.744,0.7353583083583084
