temperature,tpq,accuracy,f1_macro
0.3,5,0.088,0.07203235653235654
0.3,10,0.412,0.3938406593406593
0.3,20,0.612,0.5996641789582966
0.3,30,0.704,0.6927442557442558
0.6,5,0.076,0.0729013209013209
0.6,10,0.156,0.1553737373737374
0.6,20,0.396,0.3844201354201355
0.6,30,0.564,0.5508281718281718
0.8,5,0.076,0.06708041958041959
0.8,10,0.136,0.12946264846264846
0.8,20,0.38,0.36338761238761236
0.8,30,0.416,0.40764280164280176
1.0,5,0.064,0.06264979464979464
1.0,10,0.188,0.16266255966255966
1.0,20,0.416,0.40925841805253577
1.0,30,0.524,0.5049994041046673
