prompt_a,prompt_b,auprc
0,1,0.9909
0,2,1.0
0,3,1.0
0,4,0.9833
0,5,1.0
0,6,1.0
0,7,0.9833
0,8,1.0
0,9,1.0
0,10,1.0
0,11,1.0
0,12,0.9229
0,13,1.0
0,14,1.0
0,15,1.0
0,16,1.0
0,17,1.0
0,18,0.9833
0,19,1.0
0,20,1.0
0,21,1.0
0,22,1.0
0,23,1.0
0,24,1.0
0,25,0.9652
0,26,1.0
0,27,1.0
0,28,1.0
0,29,1.0
0,30,1.0
0,31,1.0
0,32,0.9683
0,33,1.0
0,34,1.0
0,35,1.0
0,36,1.0
0,37,1.0
0,38,1.0
0,39,1.0
0,40,0.9452
0,41,0.9683
0,42,1.0
0,43,1.0
0,44,1.0
0,45,0.9833
0,47,0.9909
0,48,1.0
0,49,0.9809
1,2,0.9086
1,3,0.9698
1,4,0.9192
1,5,1.0
1,6,0.9698
1,7,0.9082
1,8,0.9497
1,9,1.0
1,10,0.8192
1,11,0.954
1,12,0.8196
1,13,1.0
1,14,0.8984
1,15,0.9809
1,16,0.9909
1,17,0.9536
1,18,0.9833
1,19,0.9909
1,20,0.8029
1,21,1.0
1,22,0.9188
1,23,1.0
1,24,0.9909
1,25,0.9344
1,26,0.9622
1,27,0.9833
1,28,0.8813
1,29,0.5
1,30,0.9263
1,31,0.9452
1,32,0.826
1,33,0.7764
1,34,0.9188
1,35,0.9573
1,36,0.8404
1,37,0.9106
1,38,0.9063
1,39,0.848
1,40,0.8199
1,41,0.8354
1,42,0.8511
1,43,0.8506
1,44,0.9219
1,45,0.9452
1,47,0.9667
1,48,0.9698
1,49,0.954
2,3,1.0
2,4,0.748
2,5,1.0
2,6,0.8052
2,7,0.7882
2,8,1.0
2,9,0.9231
2,10,0.7346
2,11,1.0
2,12,0.683
2,13,0.8277
2,14,0.9004
2,15,0.856
2,16,0.9464
2,17,1.0
2,18,0.931
2,19,1.0
2,20,1.0
2,21,0.8796
2,22,0.9588
2,23,0.9556
2,24,0.9667
2,25,0.8974
2,26,0.9417
2,27,0.8418
2,28,0.9909
2,29,1.0
2,30,1.0
2,31,1.0
2,32,0.9405
2,33,0.8308
2,34,0.9281
2,35,0.9588
2,36,0.9114
2,37,0.9769
2,38,1.0
2,39,1.0
2,40,0.7402
2,41,0.9196
2,42,0.9603
2,43,0.8974
2,44,0.95
2,45,0.8003
2,47,0.9526
2,48,1.0
2,49,0.8348
3,4,0.69
3,5,1.0
3,6,0.9909
3,7,0.9809
3,8,1.0
3,9,0.9085
3,10,0.8785
3,11,1.0
3,12,0.7983
3,13,0.9044
3,14,0.9556
3,15,0.8585
3,16,0.9769
3,17,1.0
3,18,0.9407
3,19,1.0
3,20,1.0
3,21,0.9698
3,22,0.9556
3,23,0.9526
3,24,1.0
3,25,0.8974
3,26,1.0
3,27,0.8976
3,28,1.0
3,29,1.0
3,30,1.0
3,31,1.0
3,32,1.0
3,33,0.8974
3,34,0.9556
3,35,0.95
3,36,0.9909
3,37,1.0
3,38,1.0
3,39,1.0
3,40,0.7993
3,41,0.9286
3,42,0.9889
3,43,0.8974
3,44,1.0
3,45,0.8199
3,47,0.9667
3,48,1.0
3,49,0.9556
4,5,0.5933
4,6,0.5619
4,7,0.5184
4,8,0.5673
4,9,0.7212
4,10,0.6827
4,11,0.5933
4,12,0.5838
4,13,0.6358
4,14,0.6245
4,15,0.6419
4,16,0.7284
4,17,0.534
4,18,0.9063
4,19,0.5035
4,20,0.5301
4,21,0.6414
4,22,0.5203
4,23,0.6524
4,24,0.5767
4,25,0.5387
4,26,0.6183
4,27,0.5866
4,28,0.506
4,29,1.0
4,30,0.6834
4,31,0.5763
4,32,0.8598
4,33,0.6231
4,34,0.529
4,35,0.5729
4,36,0.6033
4,37,0.5418
4,38,0.7363
4,39,0.614
4,40,0.6318
4,41,0.6202
4,42,0.6227
4,43,0.6306
4,44,0.6777
4,45,0.6397
4,47,0.9667
4,48,0.6115
4,49,0.5826
5,6,1.0
5,7,0.8054
5,8,1.0
5,9,0.9056
5,10,0.7176
5,11,0.9714
5,12,0.7797
5,13,0.8411
5,14,0.9556
5,15,0.864
